date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr
2022-07-15,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-15,True,T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50546931.45
2022-07-15,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-15,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9499219.05
2022-07-15,True,T05,0.0,0.0,0.0,0.0,0.0,2069.62,0.0,-47774.53,-0.0,-45704.91,36221198.07
2022-07-15,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10220002.17
2022-07-15,True,T07,0.0,-155335.02,0.0,109090.86,0.0,-85819.25,0.0,530165.46,-0.0,398102.05,6781921.42
2022-07-15,True,T08,-184633.97,-466347.69,0.0,96969.65,0.0,-597466.16,0.0,431526.31,0.0,-719951.86,7978763.57
2022-07-18,True,BOOK,0.0,-1246700.88,0.0,-4424511.78,0.0,86304.85,0.0,-953079.46,-0.0,-6537987.27,199922416.51
2022-07-18,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-18,True,T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50546931.45
2022-07-18,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-18,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77944.91,-0.0,-77944.91,9421274.14
2022-07-18,True,T05,0.0,0.0,0.0,0.0,0.0,-1536.6,0.0,-144758.62,0.0,-146295.23,36074902.84
2022-07-18,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203476.94,0.0,-203476.94,10016525.23
2022-07-18,True,T07,0.0,1043475.82,0.0,-2342388.59,0.0,62252.34,0.0,-298785.34,0.0,-1535445.77,5246475.64
2022-07-18,True,T08,0.0,-2290176.7,0.0,-2082123.19,0.0,25589.11,0.0,-228113.65,-0.0,-4574824.43,3403939.14
2022-07-19,True,BOOK,0.0,-638817.01,0.0,-1497861.86,0.0,-27205.91,2638491.88,-1659242.42,-0.0,-1184635.32,198737781.18
2022-07-19,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-19,True,T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50546931.45
2022-07-19,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-19,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25981.64,0.0,-25981.64,9395292.51
2022-07-19,True,T05,0.0,0.0,0.0,0.0,0.0,507.73,0.0,-91733.47,-0.0,-91225.74,35983677.1
2022-07-19,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67825.65,-0.0,-67825.65,9948699.58
2022-07-19,True,T07,0.0,599706.13,0.0,-792985.69,0.0,-20378.28,2638491.88,-791099.86,-0.0,1633734.19,6880209.83
2022-07-19,True,T08,0.0,-1238523.14,0.0,-704876.17,0.0,-7335.37,0.0,-682601.81,0.0,-2633336.48,770602.65
2022-07-20,True,BOOK,-0.0,-659143.5,0.0,-1515102.21,0.0,39229.98,0.0,-4599582.18,0.0,-6734597.9,192003183.28
2022-07-20,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-20,True,T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50546931.45
2022-07-20,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
