date,lme_cash_usd_t,usdinr,unit_lme_pnl_inr,unit_fx_pnl_inr,unit_lme_var_garch_inr,unit_lme_var_hist250_inr,unit_lme_var_hist60_inr,unit_lme_var_garch_t_inr,unit_lme_exception_garch,unit_lme_exception_hist250,unit_lme_exception_hist60,unit_lme_exception_garch_t,unit_fx_var_garch_inr,unit_fx_var_hist250_inr,unit_fx_var_hist60_inr,unit_fx_var_garch_t_inr,unit_fx_exception_garch,unit_fx_exception_hist250,unit_fx_exception_hist60,unit_fx_exception_garch_t
2022-07-08,2399.5,79.2364,-1426255.2,61500.0,5849492.11,6533443.24,6597710.68,5645478.93,False,False,False,False,422713.02,363129.1,327214.77,379456.55,False,False,False,False
2022-07-11,2417.0,79.4647,1390632.25,228300.0,5484891.46,6489320.37,6534305.71,5305543.22,False,False,False,False,408817.95,363381.79,326409.32,368069.61,False,False,False,False
2022-07-12,2358.0,79.5623,-4694175.7,97600.0,5238241.79,6552869.59,6305444.89,5070722.47,False,False,False,False,412664.67,365155.93,330895.18,372020.91,False,False,False,False
2022-07-13,2343.0,79.5952,-1193928.0,32900.0,5488526.32,6414322.27,6232379.07,5308066.18,False,False,False,False,402522.15,365700.81,325598.61,362923.77,False,False,False,False
2022-07-14,2329.0,80.0352,-1120492.8,440000.0,5140995.04,6376432.11,6199756.04,4975787.89,False,False,False,False,391037.96,365781.07,325791.42,351943.64,False,False,False,False
2022-07-15,2320.5,79.8449,-678681.65,-190300.0,4848087.57,6374410.0,6189988.72,4696234.25,False,False,False,False,440821.33,370643.47,340503.45,398027.71,False,False,False,False
2022-07-18,2377.5,79.9862,4559213.4,141300.0,4517061.82,6313975.79,6088973.31,4379715.79,False,False,False,False,432698.59,367695.7,333933.99,392776.01,False,False,False,False
2022-07-19,2412.0,79.9395,2757912.75,-46700.0,5104524.12,6498274.46,6263369.95,4941520.46,False,False,False,False,423133.42,366957.14,333932.84,384960.5,False,False,False,False
2022-07-20,2456.5,80.0069,3560307.05,67400.0,5101747.61,6594765.21,6371862.92,4939865.07,False,False,False,False,408910.9,366629.52,333197.59,372154.47,False,False,False,False
2022-07-21,2426.0,79.8618,-2435784.9,-145100.0,5292639.95,6730974.68,6535472.22,5123331.39,False,False,False,False,398045.81,366728.37,329377.82,361686.88,False,False,False,False
