date,in_window,trade_id,leg_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,daily_pnl_inr
2022-03-24,True,T01,MCX:T01-MCX-1,0.0,-8638396.17,0.0,0.0,0.0,127009.12,0.0,31382.61,-8480004.44
2022-03-24,True,T01,MCX:T01-MCX-2,0.0,-4319198.08,0.0,0.0,0.0,63504.56,0.0,15691.31,-4240002.22
2022-03-24,True,T01,PURCHASE:L1,0.0,0.0,0.0,0.0,0.0,62775.65,0.0,13449.41,76225.06
2022-03-24,True,T01,PURCHASE:L2,0.0,0.0,0.0,0.0,0.0,62809.34,0.0,13447.16,76256.5
2022-03-24,True,T01,PURCHASE:L3,0.0,0.0,0.0,0.0,0.0,62826.18,0.0,13446.03,76272.21
2022-03-24,True,T02,BILL_COMMISSION:L1,0.0,-3501.1,0.0,0.0,0.0,51.48,0.0,-39.56,-3489.18
2022-03-24,True,T02,BILL_COMMISSION:L2,0.0,-3503.58,0.0,0.0,0.0,51.51,0.0,-73.27,-3525.33
2022-03-24,True,T02,DUTY:L1,0.0,-84283.35,0.0,0.0,0.0,0.0,0.0,-5431.72,-89715.07
2022-03-24,True,T02,DUTY:L2,0.0,-84283.35,0.0,0.0,0.0,0.0,0.0,-5431.72,-89715.07
2022-03-24,True,T02,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3669.92,-3669.92
2022-03-24,True,T02,INSURANCE:L1,0.0,-3351.31,0.0,0.0,0.0,49.27,0.0,-37.75,-3339.79
2022-03-24,True,T02,INSURANCE:L2,0.0,-3353.71,0.0,0.0,0.0,49.31,0.0,-70.02,-3374.42
2022-03-24,True,T02,LC_USANCE_FEE:L1,0.0,-6081.86,0.0,0.0,0.0,89.42,0.0,-68.53,-6060.97
2022-03-24,True,T02,LC_USANCE_FEE:L2,0.0,-6086.21,0.0,0.0,0.0,89.48,0.0,-127.09,-6123.81
2022-03-24,True,T02,MCX:T02-MCX-2,0.0,-3196206.58,0.0,0.0,0.0,46993.37,0.0,11611.57,-3137601.64
2022-03-24,True,T02,PSIC:L1,0.0,0.0,0.0,0.0,0.0,30.66,0.0,6.57,37.23
2022-03-24,True,T02,PSIC:L2,0.0,0.0,0.0,0.0,0.0,30.68,0.0,6.57,37.25
2022-03-24,True,T02,PURCHASE:L1,0.0,-3070799.32,0.0,0.0,0.0,45149.53,0.0,-187904.36,-3213554.15
2022-03-24,True,T02,PURCHASE:L2,0.0,-3072865.0,0.0,0.0,0.0,45179.9,0.0,-188018.1,-3215703.2
2022-03-24,True,T02,SALE:S1,0.0,9495325.07,0.0,0.0,0.0,-139608.42,0.0,-34495.77,9321220.88
2022-03-24,True,T02,USANCE_INTEREST:L1,0.0,-14609.79,0.0,0.0,0.0,214.81,0.0,-165.07,-14560.06
2022-03-24,True,T02,USANCE_INTEREST:L2,0.0,-14620.14,0.0,0.0,0.0,214.96,0.0,-305.74,-14710.92
2022-03-24,True,T03,BILL_COMMISSION:L1,0.0,0.0,0.0,0.0,0.0,56.87,0.0,12.16,69.04
2022-03-24,True,T03,BILL_COMMISSION:L2,0.0,0.0,0.0,0.0,0.0,56.92,0.0,12.16,69.08
2022-03-24,True,T03,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5537.95,-5537.95
2022-03-24,True,T03,INSURANCE:L1,0.0,0.0,0.0,0.0,0.0,52.1,0.0,11.15,63.25
2022-03-24,True,T03,INSURANCE:L2,0.0,0.0,0.0,0.0,0.0,52.14,0.0,11.15,63.29
2022-03-24,True,T03,INVENTORY:L1,0.0,3434409.27,0.0,346695.93,0.0,-49318.97,0.0,380699.89,4112486.12
2022-03-24,True,T03,INVENTORY:L2,0.0,3434409.27,0.0,346695.93,0.0,-49318.97,0.0,380699.89,4112486.12
2022-03-24,True,T03,MCX:T03-MCX-1,0.0,-6178306.2,0.0,0.0,0.0,90838.76,0.0,24264.26,-6063203.17
2022-03-24,True,T03,PSIC:L1,0.0,0.0,0.0,0.0,0.0,38.35,0.0,8.21,46.56
2022-03-24,True,T03,PSIC:L2,0.0,0.0,0.0,0.0,0.0,38.38,0.0,8.21,46.59
2022-03-24,True,T03,PURCHASE:L1,0.0,0.0,0.0,0.0,0.0,47394.34,0.0,10136.18,57530.52
2022-03-24,True,T03,PURCHASE:L2,0.0,0.0,0.0,0.0,0.0,47432.42,0.0,10133.63,57566.05
2022-03-25,True,T01,BILL_COMMISSION:L1,0.0,0.0,0.0,0.0,0.0,512.63,0.0,17.72,530.35
2022-03-25,True,T01,BILL_COMMISSION:L2,0.0,0.0,0.0,0.0,0.0,512.9,0.0,18.61,531.51
2022-03-25,True,T01,BILL_COMMISSION:L3,0.0,0.0,0.0,0.0,0.0,513.04,0.0,19.05,532.09
2022-03-25,True,T01,FREIGHT:L1,0.0,0.0,0.0,0.0,0.0,18921.88,0.0,837.2,19759.08
2022-03-25,True,T01,FREIGHT:L2,0.0,0.0,0.0,0.0,0.0,18933.69,0.0,875.42,19809.11
