date,value,unit,wow_pct_change_published,wow_usd_change_published,url,archive_url,archived,retrieved
2022-08-25,5985.53,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.04,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220831134530/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-08-31,2026-09-16
2022-09-01,5661.69,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.05,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220907035754/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-09-07,2026-09-16
2022-09-08,5378.68,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.05,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220914025411/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-09-14,2026-09-16
2022-09-15,4941.91,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.08,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220921095228/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-09-21,2026-09-16
2022-09-22,4471.99,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.1,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220928010650/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-09-28,2026-09-16
2022-09-29,4014.1,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.1,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20221005114215/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-10-05,2026-09-16
2022-10-06,3688.75,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.08,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20221012020135/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-10-12,2026-09-16
2022-10-13,3483.19,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.06,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20221018073920/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-10-18,2026-09-16
2022-10-20,3383.46,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.03,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20221020191054/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-10-20,2026-09-16
2022-10-27,3145.11,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.07,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20221102060948/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-11-02,2026-09-16
